=== EXACT CORE FILES ===
Level.as	Level.as	analysis/v4-core/Level.as.txt
TowerHolder.as	TowerHolder.as	analysis/v4-core/TowerHolder.as.txt
MenuUpgrades.as	MenuUpgrades.as	analysis/v4-core/MenuUpgrades.as.txt
GameUpgrades.as	GameUpgrades.as	analysis/v4-core/GameUpgrades.as.txt
§_-2i§.as	§_-2i§.as	analysis/v4-core/pause-obfuscated.as.txt
§_-BQ§.as	§_-BQ§.as	analysis/v4-core/wave-ui-obfuscated.as.txt
§_-LZ§.as	§_-LZ§.as	analysis/v4-core/tower-menu-obfuscated.as.txt
§_-8a§.as	§_-8a§.as	analysis/v4-core/hero-currency-obfuscated.as.txt

=== TOWER CLASSES ===
TowerArcherCrossbow	TowerArcherCrossbow.as
TowerArcherTotem	TowerArcherTotem.as
TowerDwarfRiflemen	TowerDwarfRiflemen.as
TowerEngineer	TowerEngineer.as
TowerEngineerDwaarp	TowerEngineerDwaarp.as
TowerEngineerMech	TowerEngineerMech.as
TowerHolder	TowerHolder.as
TowerMage	TowerMage.as
TowerMageArchmage	TowerMageArchmage.as
TowerMageNecromancer	TowerMageNecromancer.as
TowerMageNecromancerPestilence	TowerMageNecromancerPestilence.as
TowerModifierHeroPriestConsecrate	TowerModifierHeroPriestConsecrate.as
TowerPirateCampCrosshair	TowerPirateCampCrosshair.as
TowerSoldierAssassin	TowerSoldierAssassin.as
TowerSoldierPirates	TowerSoldierPirates.as
TowerSoldierTemplar	TowerSoldierTemplar.as

=== HERO-RELATED CLASSES ===
HeroDragonExplosion1	HeroDragonExplosion1.as
HeroDragonExplosion2	HeroDragonExplosion2.as
HeroDragonParticle2	HeroDragonParticle2.as
LevelSelectModeHeroic	LevelSelectModeHeroic.as
MenuVictoryHeroic	MenuVictoryHeroic.as
NotificationTipHero	NotificationTipHero.as
SoldierHeroAlien	SoldierHeroAlien.as
SoldierHeroAlric	SoldierHeroAlric.as
SoldierHeroCaptain	SoldierHeroCaptain.as
SoldierHeroCronan	SoldierHeroCronan.as
SoldierHeroDierdre	SoldierHeroDierdre.as
SoldierHeroDragon	SoldierHeroDragon.as
SoldierHeroDragonBurnEnemyModifier	SoldierHeroDragonBurnEnemyModifier.as
SoldierHeroDragonLongRangeAttackExplosion1	SoldierHeroDragonLongRangeAttackExplosion1.as
SoldierHeroDragonLongRangeAttackExplosion2	SoldierHeroDragonLongRangeAttackExplosion2.as
SoldierHeroMirage	SoldierHeroMirage.as
SoldierHeroNivus	SoldierHeroNivus.as
TowerModifierHeroPriestConsecrate	TowerModifierHeroPriestConsecrate.as
